profile_id,sample,minute,load_kW,available_flex_kW
1,in_sample,1,514.103298451266,294.103298451266
1,in_sample,2,509.8247892339097,289.8247892339097
1,in_sample,3,534.9266436277065,314.92664362770654
1,in_sample,4,548.742405661862,328.742405661862
1,in_sample,5,520.3348200139975,300.3348200139975
1,in_sample,6,553.6283846285704,333.6283846285704
1,in_sample,7,571.9081637678951,351.9081637678951
1,in_sample,8,586.502404184332,366.502404184332
1,in_sample,9,557.7156073603076,337.71560736030756
1,in_sample,10,554.2426230129972,334.2426230129972
1,in_sample,11,545.1984847092779,325.19848470927786
1,in_sample,12,575.07203392868,355.07203392867996
1,in_sample,13,578.6575609993804,358.6575609993804
1,in_sample,14,590.0139570071435,370.0139570071435
1,in_sample,15,574.9614072192328,354.9614072192328
1,in_sample,16,553.604500300491,333.60450030049105
1,in_sample,17,557.4254353915995,337.42543539159954
1,in_sample,18,526.8926433188918,306.8926433188918
1,in_sample,19,549.8268253583726,329.8268253583726
1,in_sample,20,559.0433332969171,339.0433332969171
1,in_sample,21,577.1094751028933,357.10947510289327
1,in_sample,22,562.6331694875863,342.6331694875863
1,in_sample,23,595.5820311952295,375.58203119522955
1,in_sample,24,595.7870516943896,375.78705169438956
1,in_sample,25,591.3097635270833,371.3097635270833
1,in_sample,26,564.8135746999187,344.8135746999187
1,in_sample,27,562.4840449608112,342.48404496081116
1,in_sample,28,530.5503085659171,310.55030856591713
1,in_sample,29,506.35057301064546,286.35057301064546
1,in_sample,30,519.1639997376172,299.16399973761725
1,in_sample,31,536.2973506511645,316.2973506511645
1,in_sample,32,569.0230319215592,349.0230319215592
1,in_sample,33,555.5200011745866,335.5200011745866
1,in_sample,34,546.4521805970274,326.45218059702745
1,in_sample,35,544.321087386334,324.32108738633406
1,in_sample,36,522.5840825222341,302.5840825222341
1,in_sample,37,496.6785878957171,276.6785878957171
1,in_sample,38,494.97793273153246,274.97793273153246
1,in_sample,39,475.86158716509436,255.86158716509436
1,in_sample,40,487.74856679287007,267.74856679287007
1,in_sample,41,483.3492011139332,263.3492011139332
1,in_sample,42,506.6366748379818,286.6366748379818
1,in_sample,43,520.6552319781392,300.6552319781392
1,in_sample,44,507.5208968748821,287.5208968748821
